Name,Country,Start year,End year,Proven victims,Possible victims,Notes
Samuel Little,United States,1970.0,2005.0,60.0,93.0,"Little was convicted of killing three women, but later investigations linked 31 other murders to him. He claimed he killed as many as 93 victims total, three above his initial confession of 90; the FBI later confirmed a total of 60 murders linked to Little. The investigations into his crimes are ongoing. Sentenced to life imprisonment without the possibility of parole on September 25, 2014. Died in prison on December 30, 2020, aged 80."
William Unek,"Belgian Congo, Tanganyika",1954.0,1957.0,57.0,57.0,"Unek was a police constable who murdered 21 people with an axe in less than two hours before fleeing. Three years later, Unek, armed with rifle and axe, murdered 36 more people in the village of Malampaka before being mortally wounded by police with a smoke bomb that caught fire."
Mohammed Bijeh,Iran,2002.0,2004.0,54.0,54.0,"Bijeh raped and killed at least 54 male children and teenagers. On November 27, 2004, he was sentenced to be executed. Bijeh said that if he was not arrested, he would kill 100 children. He was executed after being lashed in front of a crowd in 2005."
Andrei Chikatilo,Soviet Union,1978.0,1990.0,53.0,56.0,"Known as ""The Butcher of Rostov"", ""The Red Ripper"" or ""The Rostov Ripper"". Chikatilo was convicted of the murder of 53 women and children between 1978 and 1990. One man was previously convicted and executed for his first murder. Chikatilo was executed by gunshot in 1994."
Anatoly Onoprienko,"Soviet Union, Ukraine",1989.0,1996.0,52.0,52.0,"Known as ""The Beast of Ukraine"", ""The Terminator"", and ""Citizen O"". Onoprienko was convicted of the murders of nine people in 1989, and 43 people in 1995–1996. He travelled throughout Europe illegally from 1990 to 1995; whether he killed during this time is unknown. He was sentenced to death, and was later commuted to imprisonment for life. He died from heart failure in 2013."
Florisvaldo de Oliveira,Brazil,1982.0,1983.0,50.0,50.0,"Known as ""Cabo Bruno""; de Oliveira was a former police officer and vigilante who murdered criminals in the outskirts of São Paulo. He was murdered by unknown assailants in 2012."
Gary Ridgway,United States,1982.0,1998.0,49.0,80.0,"Ridgway was a truck painter who confessed to killing 71 women. He was also known as The ""Green River Killer"". He almost exclusively targeted sex workers from Seattle. Ridgway was suspected of killing over 90 victims; he confessed to 71, and was convicted of 49. He was sentenced to life without parole."
Alexander Pichushkin,Russia,1992.0,2006.0,49.0,60.0,"Pichushkin was also known as the ""Chessboard Killer"". He was convicted of murdering 49 victims, and suspected of killing 60. He claimed to have murdered 62 people, because he did not know that two of his victims had survived; he stated that his goal was becoming Russia's most prolific serial killer. He was sentenced to life imprisonment."
Wang Qiang,China,1995.0,2003.0,45.0,60.0,Wang killed 45 and raped 10 from 1995 to 2003. He was executed by firing squad in 2005.
Ahmad Suradji,Indonesia,1986.0,1997.0,42.0,42.0,Suradji was convicted of strangling at least 42 women and girls in a series of ritual slayings he believed would give him magical powers. He was executed by firing squad in 2008.
Raman Raghav,India,1965.0,1968.0,41.0,41.0,"In the late 1960s, Raghav went on a violent rampage in Mumbai, India. He bludgeoned 41 people to death inside their shelters while they slept. He died of kidney failure in 1995."
Moses Sithole,South Africa,1994.0,1995.0,38.0,76.0,"Known as South Africa's Ted Bundy. Sithole preyed on unemployed women, posing as a businessman and luring his victims with the prospects of a job, before leading them to an isolated place, where he raped, tortured, and murdered them. He was sentenced to 2,410 years imprisonment, with a non-parole period of 930 years."
Serhiy Tkach,"Soviet Union, Ukraine",1984.0,2005.0,37.0,100.0,"A former Ukrainian police criminal investigator, Tkach suffocated girls aged between eight and eighteen, and performed sexual acts on their bodies after they were dead. He claimed to have killed 100. He was sentenced to life imprisonment, and died from heart failure in 2018."
Gennady Mikhasevich,Soviet Union,1971.0,1985.0,36.0,49.0,"Mikhasevich killed women by strangling them. Besides killing, he also robbed his victims of money and valuable items (that he would sometimes give to his wife as a gift). He was executed by firing squad in 1987."
Hadj Mohammed Mesfewi,Morocco,,1906.0,36.0,36.0,"Known as ""Marrakesh Arch-Killer""; Mesfewi drugged, mutilated and murdered women; he was executed by immurement (walling) in 1906."
Vera Renczi,"Kingdom of Romania, Yugoslavia, Hungary",1920.0,1930.0,35.0,35.0,"Romanian serial killer nicknamed, ""The Black Widow"". Renczi was convicted of killing 35 men through arsenic poisoning, but confessed to only killing 32 victims. Renczi is one of the world's most prolific female serial killers. However, there is very little information about Renczi and her crimes, because personal information (criminal history, academic records, etc.) were not cataloged as well as they are today, making some criminologists believe she was a figure of Romanian folklore, rather than an actual person."
Fernando Hernández Leyva,Mexico,1982.0,1999.0,33.0,137.0,"Hernández Leyva confessed to 100 murders and six kidnappings at the time of his arrest in 1999 (he had been arrested previously in 1982 and 1986, the second time for murder, but escaped from prison), but later retracted, and claimed that he had been beaten by the police and his family threatened in order to force him to confess. He was accused of as many as 137 murders in five southern Mexican states, was convicted of 33 murders, and was sentenced to 50 years in prison. He tried unsuccessfully to commit suicide in prison. If his claim of 100+ victims were true, then Leyva would be Mexico's most prolific documented serial killer."
John Wayne Gacy,United States,1972.0,1978.0,33.0,39.0,"Gacy is known to have murdered a minimum of 33 teenage boys and young men between 1972 and 1978, 26 of whom he buried in the crawl space of his Chicago home. He was known as the ""Killer Clown"", due to the fact he often entertained children at social events dressed in a self devised clown costume. Executed by lethal injection in 1994."
Ali Asghar Borujerdi,"Ottoman Empire, Iraq, Iran",1907.0,1934.0,33.0,33.0,"Known as ""Asghar the Murderer"". Borujerdi killed 33 young adults in Iraq and Iran. He was executed by hanging in 1934."
Vasili Komaroff,Soviet Union,1921.0,1923.0,33.0,33.0,"Known as ""The Wolf of Moscow""; Komaroff was a horse trader who killed 33 men. He was executed by firing squad in 1923."
Ramadan Abdel Rehim Mansour,Egypt,1999.0,2006.0,32.0,32.0,"Mansour was a gang leader known as ""al-Tourbini"" (""The Express Train""). He had raped and tortured homeless children, mostly boys aged 10 to 14 years old, aboard the trains between Cairo, Alexandria, Qalyubia, and Beni Sueif. The victims were usually thrown off the moving train when they were dead or in agony; other times, they were thrown into the Nile or buried alive. Mansour was executed in 2010."
Radik Tagirov,Russia,2011.0,2012.0,31.0,31.0,"Known as the ""Volga Maniac"". He murdered elderly women in several Russian regions."
Karl Denke,Germany,1900.0,1924.0,30.0,42.0,"Killed and cannibalized poor travelers and homeless vagrants. Kept a ledger recording his murders with at least 31 names in it (including Vincenz Olivier, his only surviving victim), thus confirming at least 30 victims. But due to the massive amount of human remains found in his apartment, his kill count is suspected by many to exceed 42 victims. Killed himself by hanging in his holding cell before he could be tried."
Francisco das Chagas Rodrigues de Brito,Brazil,1989.0,2003.0,30.0,42.0,"Serial killer of children, who also sexually abused and mutilated children in Maranhão and Pará; sentenced to 217 years imprisonment."
Monster of the Mangones,Colombia,1963.0,1970.0,30.0,38.0,"Unidentified serial killer(s) who kidnapped, tortured, raped, and murdered at least 30 boys in Cali, Colombia."
Milton Sipalo,Zambia,1980.0,1989.0,30.0,31.0,"Known as ""The Lusaka Strangler""; A soldier who raped and murdered women and girls in Lusaka. While awaiting trial, he jumped off of the roof of the police station where he was being interrogated, killing himself."
Luis Gregorio Ramírez Maestre,Colombia,2010.0,2012.0,30.0,30.0,Killed motorists in various municipalities before his 2012 capture. Was sentenced to 34 years in prison.
David Thabo Simelane,Swaziland,2000.0,2001.0,28.0,45.0,"Sexually assaulted women he befriended in forests, stabbing or strangling them afterward; sentenced to death."
Zhang Jun,China,1993.0,2000.0,28.0,28.0,"Robbed 22 stores in several Chinese provinces, killing 28 people in the process. Executed in 2001."
Mariam Soulakiotis,Greece,1939.0,1951.0,27.0,177.0,"Known as ""Mother Rasputin""; abbess believed to have murdered wealthy women and children who came into her abbey. The true number of her victims is a matter of debate, but she was found guilty of 177 murders—150 through negligence (fraudulently claiming to offer free tuberculosis treatment when the 'treatment' only consisted of abiding in her high altitude convent) and 27 through starvation. Died in prison in 1954."
Cedric Maake,South Africa,1996.0,1997.0,27.0,35.0,"Known as the ""Wemmer Pan Killer"" and ""Hammer Killer"". He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered tailors with a hammer. Maake was arrested after Moses Sithole was found guilty of 38 killings and sentenced to 1,340 years in prison."
Robert Pickton,Canada,1983.0,2002.0,26.0,49.0,"Known as the ""Pig Farmer Killer"" or the ""Butcher"", he killed women from mostly the Vancouver Downtown Eastside and would feed the remains to the pigs on his farm. In 2007, he was initially convicted for the deaths of 6 woman, but was later found guilty of the deaths of 20 other woman in 2010; however he confessed to 49 killings to an undercover police officer. In 2024, Pickton died of injuries received in an attack from another inmate."
Bruce George Peter Lee,United Kingdom,1973.0,1979.0,26.0,26.0,"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized."
The Stoneman,India,1985.0,1989.0,25.0,25.0,"12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989—in all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). No one was ever charged with any of the murders."
Juan Corona,United States,1971.0,1980.0,25.0,25.0,Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment. Died from natural causes in 2019.
Fritz Haarmann,Germany,1918.0,1924.0,24.0,27.0,"Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have been responsible for the murder of 27 boys and young men, he was convicted, found guilty of 24 murders and executed by guillotine in 1925."
Béla Kiss,Austria-Hungary,1912.0,1916.0,24.0,24.0,"Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count."
Majid Salek Mohammadi,Iran,1981.0,1985.0,24.0,24.0,"Killed mainly women he considered unfaithful to their husbands, sometimes the children accompanying them too; killed himself before he could be sentenced."
Yvan Keller,"France, Germany, Switzerland",1989.0,2006.0,23.0,150.0,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; killed himself before trial."
Ronald Dominique,United States,1997.0,2006.0,23.0,23.0,"Louisianian serial killer, known locally as the Bayou Strangler and murdered victims in the Terrebonne Parish, Lafourche Parish, Iberville Parish and Jefferson Parish. Sentenced to eight life terms."
Juan Fernando Hermosa,Ecuador,1991.0,1992.0,23.0,23.0,"Known as ""Niño del Terror""; youth gang leader who murdered mostly taxi drivers and homosexuals in Quito; murdered on his 20th birthday by unknown assailants."
Gerald Stano,United States,1969.0,1980.0,22.0,88.0,"Confessed to killing 41 women, mostly in Florida and New Jersey. He was only convicted in 22 cases, and is suspected in the deaths of up to 88 victims. Some people have suggested that Stano was a serial confessor."
Earle Nelson,"United States, Canada",1926.0,1927.0,22.0,25.0,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928."
Mikhail Novosyolov,"Soviet Union, Russia, Tajikistan",1977.0,1995.0,22.0,22.0,"Known as the ""Necrophile Rebel""; killed his victims with blows from heavy objects, then had sexual intercourse with their corpses; sentenced to civil commitment."
Manuel Octavio Bermúdez,Colombia,1999.0,2003.0,21.0,50.0,"Colombian child rapist and serial killer. Known as ""El Monstruo de los Cañaduzales"" (The Monster of the Cane Fields). He confessed to killing 21 children in remote areas of Colombia. Sentenced to 40 years in prison."
Patrick Kearney,United States,1965.0,1977.0,21.0,43.0,"Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them. Sentenced to imprisonment for life."
William Bonin,United States,1979.0,1980.0,21.0,36.0,"Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Convicted of 14 of the freeway murders, he was executed by lethal injection in 1996."
Vasile Tcaciuc,Romania,1917.0,1935.0,21.0,26.0,Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.
Yoo Young-chul,South Korea,2003.0,2004.0,21.0,26.0,"Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession. Was sentenced to death and currently incarcerated."
Francisco Guerrero Pérez,Mexico,1880.0,1908.0,21.0,21.0,"Known as ""El Chaquero""; the first captured serial killer in Mexico, who killed sex workers in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause."
Ted Bundy,United States,1974.0,1978.0,20.0,67.0,"Bundy was an American serial killer known for his charisma and good looks. He officially confessed to 30 homicides, but had confessed to killing 35–36 women in the past, and some estimates run upwards of 100 or more. He was infamous for escaping from prison twice and murdering multiple victims in one day; sometimes abducting women from the same location within hours of one another. He was executed by electric chair in 1989."
Abdullah Shah,Afghanistan,1990.0,,20.0,20.0,"Killed travelers on the road from Kabul to Jalalabad serving under Zardad Khan. Also killed his wife. Executed on April 20, 2004."
Mohan Kumar,India,2005.0,2009.0,20.0,20.0,"Lured female victims with promises of marriage and gave them cyanide, claiming they were contraceptive pills, Sentenced to death in 2013."
Bulelani Mabhayi,South Africa,2007.0,2012.0,20.0,20.0,"Known as the ""Monster of Thuleni""; killed 20 women and children from 2007 to 2012. Sentenced to 25 life sentences on September 3, 2013."
Larry Eyler,United States,1982.0,1984.0,19.0,23.0,"Known as ""The Interstate Killer""; sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994."
Cape Town Prostitute Killer,South Africa,1992.0,1996.0,19.0,20.0,"Unidentified serial killer who, on rainy nights, picked up sex workers and domestic workers in his vehicle, strangled them in parking lots, and dumped their bodies in rural, preselected spots."
"""El Psicópata""",Costa Rica,1986.0,1996.0,19.0,19.0,"(""The Psychopath"") Unidentified serial killer who killed 19 people with an M3 submachine gun in three Costa Rican towns, always south of the Florencio del Castillo Highway."
Sergei Ryakhovsky,"Soviet Union, Russia",1988.0,1993.0,19.0,19.0,"Known as the Balashikha Ripper, he was convicted for the murders of at least 19 victims. Died from tuberculosis in 2005."
Yevgeny Chuplinsky,Russia,1998.0,2006.0,19.0,19.0,"Known as the ""Novosibirsk Maniac""; killed sex workers in Novosibirsk; despite extensive police search and the capture of another serial killer, he was only arrested in 2016; sentenced to life imprisonment."
M. Jaishankar,India,2008.0,2011.0,19.0,19.0,"Accused of killing at least 19 women. Charged with 13 murders, he escaped during a trial transport. Killed eight more people in two months before he was recaptured. Sentenced to 27 years. Killed himself by slashing his wrists with a shaving blade in prison on 27 February 2018."
Ansis Kaupēns,Latvia,1920.0,1926.0,19.0,19.0,Army deserter who committed 30 robberies and killed 19 people; one of the most infamous Latvian criminals; executed by hanging in 1927.
Vadim Ershov,Russia,1992.0,1995.0,19.0,19.0,"Known as the ""Krasnoyarsk Beast""; committed 70 crimes around the Krasnoyarsk area, including 19 murders and eight attempted murders; sentenced to death, commuted to life imprisonment."
Velaphi Ndlangamandla,South Africa,1998.0,2007.0,19.0,19.0,"Known as ""The Saloon Killer""; robber who murdered people around Mpumalanga in his crime spree; sentenced to 137 years imprisonment."
Valery Kopytov,Russia,2000.0,2004.0,19.0,19.0,"Known as ""The Barnaul Chikatilo""; homeless man who killed other homeless people in Altai Krai."
Randall Woodfield,United States,1979.0,1981.0,18.0,44.0,"Known as ""The I-5 Killer"" and ""The I-5 Bandit."" Suspected of as many as 44 murders. Sentenced to imprisonment for life."
Yavuz Yapıcıoğlu,Turkey,1994.0,2002.0,18.0,40.0,Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives. Was sentenced to 74 years in prison.
Paul John Knowles,United States,1974.0,1983.0,18.0,35.0,"Killed 18 people in various states in 1974. Claimed 35 murders. Known as the ""Casanova Killer""; shot dead by FBI agents."
Thierry Paulin,France,1984.0,1987.0,18.0,21.0,"Known as ""The monster of Montmartre"". Killed and robbed elderly women. Died of AIDS in 1989 in prison before trial."
Richard Nyauza,South Africa,2002.0,2006.0,18.0,19.0,"Known as ""The Quarry Murderer""; bludgeoned, beat, strangled, and stabbed 16 women and two unborn children to death and left their bodies in or around a quarry. Given 16 life sentences."
Umesh Reddy,India,1996.0,2002.0,18.0,18.0,Confessed to 18 rapes and murders. Sentenced to death.
Christopher Mhlengwa Zikode,South Africa,1994.0,1995.0,18.0,18.0,"Known as ""Donnybrook Serial Killer"" murdered 18 people in Donnybrook, KwaZulu Natal from 1994 to 1995. Was given 140 years (5 life sentences)."
Kotakethana murders,Sri Lanka,2008.0,2015.0,18.0,18.0,18 mysterious murders of women in the Rathnapura district of Sri Lanka. One middle age man suspect was arrested in 2015 and his DNA matched with six murders. Nine other cases remain unsolved.
Asande Baninzi,South Africa,2001.0,2010.0,18.0,18.0,"Killed 18 people in three months, including a family of four; given 19 life sentences and 189 years of imprisonment."
Vladimir Mirgorod,Russia,2002.0,2004.0,18.0,18.0,"Known as ""The Strangler""; raped and strangle women in Moscow, also killing one of the victims' son; sentenced to life imprisonment."
Richard Cottingham,United States,1967.0,1980.0,17.0,92.0,"Killer operating in New York and New Jersey who often targeted sex workers and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", with 17 confirmed homicide victims including nine convictions and a further eight official confessions. He has made unsubstantiated claims of up to a hundred victims."
Huang Yong,China,2001.0,2003.0,17.0,25.0,"Lured and murdered 17 teenage boys, although he is suspected of 25 murders between September 2001 and 2003. Executed by firing squad in 2003."
Pedro Pablo Nakada Ludeña,Peru,2005.0,2006.0,17.0,25.0,"Known as ""El Apóstol de la Muerte"" (""The Apostle of Death""). Convicted of 17 murders and claimed 25. Sentenced to 35 years in prison."
Darbara Singh,India,2004.0,2013.0,17.0,23.0,Sexually assaulted and then murdered children of non-Punjabi immigrants; died in 2018 from an illness while serving a life sentence.
Robert Hansen,United States,1971.0,1983.0,17.0,21.0,"Sex workers he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 17 for which he was convicted. Sentenced to 461 years plus life. Died from unspecified health problems in 2014."
Sergei Dovzhenko,Ukraine,1992.0,2002.0,17.0,19.0,"Killed people because they were ""mocking"" him; sentenced to life imprisonment."
Donato Bilancia,Italy,1997.0,1998.0,17.0,17.0,"Burglar who murdered 17 people, mainly sex workers, between 1997 and 1998, during a six-month period. Known as the ""Prostitutes Killer"" and the ""Liguria Monster"". Sentenced to imprisonment for life, he died due to COVID-19 in 2020."
Irina Gaidamachuk,Russia,2002.0,2010.0,17.0,17.0,"Known as ""Satan in a skirt"". Killed 17 elderly women between 2002 and 2010. Sentenced to 20 years in prison."
Chen Fuzhao,China,2003.0,2012.0,17.0,17.0,Alleged Falun Gong fanatic who fatally poisoned 17 people in 2003.
Randy Steven Kraft,United States,1971.0,1983.0,16.0,67.0,"Convicted of 16 counts of murder but left a cryptic ""score card"" referring to at least 65 victims. May have had an accomplice. Sentenced to death."
Juana Barraza,Mexico,,,16.0,49.0,Mexican female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.
Michel Fourniret,"France, Belgium",1987.0,2001.0,16.0,19.0,Known as the Ogre or Beast of Ardennes. He was caught after a failed kidnapping in 2003. Sentenced to life and died of respiratory problems while in prison in 2021.
Sipho Agmatir Thwala,South Africa,1996.0,1997.0,16.0,19.0,"Nicknamed the Phoenix Strangler after the area in which he committed his crimes; he raped and strangled 19 women; arrested, he was found guilty of 16 murders and sentenced to life."
Saeed Hanaei,Iran,2000.0,2001.0,16.0,19.0,"Confessed to luring 16 sex workers to his home and killing them in an attempt to ""cleanse"" the city of Mashhad. His actions were dubbed ""The Spider Murders"". Executed by hanging in 2002."
Maina Ramulu,India,2003.0,2020.0,16.0,18.0,"Convicted of murdering 16 women between 2003 and 2013 during three separate murder sprees. He was released from prison in 2020, and allegedly murdered two more women."
Jeffrey Dahmer,United States,1978.0,1991.0,16.0,17.0,Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.
José Antonio Rodríguez Vega,Spain,1987.0,1988.0,16.0,16.0,"Nicknamed El Mataviejas (The Old Lady Killer), he raped and killed at least 16 elderly women, aged from 61 to 93 years old, in and around Santander, Cantabria. He went unrecognized for over a year because he moved his victims into their beds after they were killed; no autopsies were made and the deaths were attributed to natural causes. He also took trophies from his victims that he held in a particular room of his home; about 10 percent of these trophies remained unclaimed, implying the existence of other victims. He was stabbed to death by two inmates while incarcerated in 2002."
Carroll Cole,United States,1948.0,1980.0,16.0,16.0,"Killed 16 people in California, Nevada, and Texas. Executed by lethal injection in 1985."
Elias Xitavhudzi,South Africa,1950.0,,16.0,16.0,"Nicknamed Panga man for his use of a machete (locally known as a ""panga""). He stabbed and robbed his victims between 1953 and 1959; arrested, he was executed by hanging in 1960."
Charles Ray Hatcher,United States,1969.0,1982.0,16.0,16.0,"A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"". Sentenced to life; killed himself by hanging himself in prison in 1984."
Yuri Ivanov,Soviet Union,1974.0,1987.0,16.0,16.0,"Known as the ""Ust-Kamenogorsk Maniac""; Kazakhstani rapist who killed girls and women who spoke negatively of men; executed 1987."
Robert Lee Yates,United States,1975.0,1998.0,16.0,16.0,"Killed sex workers in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington. Sentenced to 408 years in prison and two death sentences."
Farid Baghlani,Iran,2004.0,2008.0,16.0,16.0,"Known as the ""Cyclist killer""; murdered 15 women and 1 boy. Executed by hanging on November 13, 2010."
Jimmy Maketta,South Africa,2005.0,2014.0,16.0,16.0,Pleaded guilty to and convicted of 16 murders and 19 rapes committed over the nine-month period of April to December 2005.
Jack Mogale,South Africa,2008.0,2009.0,16.0,16.0,"Raped and strangled women in the Donnybrook area. Convicted of 16 murders and 19 rapes, nine kidnappings, robbery and assault."
Donald Henry Gaskins,United States,1953.0,1982.0,15.0,100.0,"Known as ""The Meanest Man in America"", Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated—one while Gaskins had been on death row. Later claimed on death row that he had murdered between 100 and 110 victims. Executed by electric chair in 1991."
Ravinder Kumar,India,2008.0,2015.0,15.0,30.0,Serial rapist who killed children of poor families.
Atlanta Ripper,United States,1911.0,1920.0,15.0,21.0,"Unidentified serial killer(s) who killed at least 15 Atlanta women in 1911, possibly as many as 21 in total."
Ángel Maturino Reséndiz,"United States, Mexico",1986.0,1999.0,15.0,18.0,"Known as the ""Railroad Killer"" because his killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on. Executed by lethal injection in 2006."
Chester Turner,United States,1987.0,1998.0,15.0,15.0,Convicted of killing 15 people in Los Angeles in the 1980s and 1990s. Sentenced to death.
Alexander Labutkin,Soviet Union,1933.0,1935.0,15.0,15.0,"Known as the ""One-Armed Bandit""; killed people in the forest near the Prigorodny settlement using a revolver; executed 1935."
Florencio Fernández,Argentina,1950.0,,15.0,15.0,"Stalked his victims, then would beat and bite them while they were asleep. Died from natural causes a few years after his 1960 arrest."
Elifasi Msomi,South Africa,1953.0,1956.0,15.0,15.0,Killed his victims with an axe or a knife in the 1950s; executed by hanging in 1956.
Abdullah Aksoy,Turkey,1962.0,1967.0,15.0,15.0,"Known as ""The Monster of Çumra""; killed fifteen men in Çumra from 1962 to 1967 after having sexual intercourse with them, then buried their bodies in his home; committed suicide in prison before being tried."
Maurizio Minghella,Italy,1978.0,2001.0,15.0,15.0,"Killed five sex workers; imprisoned and released, after which he killed 10 more; sentenced to life imprisonment."
Bai Baoshan,China,1983.0,1997.0,15.0,15.0,Robber who killed 15 people while robbing several police stations; executed by gunshot in 1998.
Lee Choon-jae,South Korea,1986.0,1994.0,15.0,15.0,"Also known as the Hwaseong serial murders. Most of the victims were bound, gagged, and strangled to death with their own clothes. It sparked the largest criminal case in South Korea with two million officers mobilized and over 21,000 suspects investigated. A suspect was identified in 2019, but he could not be prosecuted due to the statute of limitations. He later confessed to killing 15 people, in addition to the murder of his sister-in-law."
